P1,Q2,P2,P3,P4,Ad,F
6,3,15,8,0,5,37
11,0,0,0,0,0,11
11,3,25,5,8,0,52
11,0,8,0,0,0,19
6,0,7,0,0,0,13
20,3,9,8,10,5,55
5,0,12,0,0,7,24
0,0,0,0,0,0,0
3,3,10,4,0,0,20
3,0,0,0,0,0,3
11,3,15,20,5,2,56
7,3,14,5,10,9,48
12,3,14,8,0,2,39
10,0,0,0,0,2,12
13,3,23,6,0,0,45
8,3,20,22,15,2,70
8,3,20,6,18,0,55
8,3,0,0,0,0,11
16,3,23,18,10,9,79
16,3,10,7,19,0,55
10,0,5,0,0,0,15
0,0,0,0,0,0,0
6,3,13,18,18,4,62
3,0,0,0,0,0,3
4,3,18,8,0,0,33
10,0,11,0,8,8,37
6,0,17,5,0,4,32
13,3,8,20,19,5,68
11,3,11,8,8,5,46
3,0,5,0,0,0,8
6,3,14,14,13,4,54
0,0,0,0,0,0,0
13,3,9,8,10,8,51
13,0,7,0,0,0,20
3,0,0,0,0,0,3
13,0,12,0,0,0,25
8,0,0,0,0,0,8
5,0,0,0,0,0,5
5,3,10,2,0,0,20
0,0,9,0,0,0,9
4,3,18,20,19,2,66
12,0,0,0,0,0,12
11,3,5,5,8,0,32
,,,,,,
